Customer_ID,Loan_Type,Currency,Economic_Capital,Expected_Credit_Loss,Stress_Test_Scenario,Recovery_Percentage,Net_Loss_Given_Default,Excessive_Loss_Flag,Extreme_Credit_Loss_Flag,Extreme_Stress_Test_Flag,Remediation_Recovery_Percentage,Remediation_Excessive_Loss,Remediation_Extreme_Credit_Loss,Remediation_Extreme_Stress_Test
d6c564da-e9e1-4238-ab83-b1c62ec5e39a,Bridge Loan,CNY,804178.87,499790.18,174605.86,100,660624.26,FALSE,FALSE,FALSE,OK,OK,OK,OK
b702b410-6068-40ab-9a5e-440e7d2cae69,Syndicated Loan,CNY,368205.01,175177.09,860617.5,100,738472.3,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
f8b9c41d-dac7-41cc-a53d-27c333c9c6ce,Revolver,USD,320632.8,699290,114349.06,100,597700.66,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
b4fe5015-b37f-4364-9fe3-1dce736ed530,Revolver,GBP,23474.98,732994.49,409728.06,100,922241.49,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
46bf1efd-e047-419f-9215-4be44eb1f45f,Syndicated Loan,EUR,618528.03,905876.17,130755.04,100,488181.06,FALSE,FALSE,FALSE,OK,OK,OK,OK
b395abd0-4591-4f5c-abd2-3b35f15c8644,Bridge Loan,EUR,889506.77,748961.25,913603.65,100,209761.16,FALSE,FALSE,FALSE,OK,OK,OK,OK
1f2e7461-9780-4f89-9ca9-5c5f571b8864,Term Loan,JPY,34724.06,163672.3,513463.58,100,973084.67,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
37c81275-bd92-4e3a-ac17-15ae5c0c787b,Syndicated Loan,USD,710728.12,897359.04,189592.54,100,687506.68,FALSE,FALSE,FALSE,OK,OK,OK,OK
2cf9ea37-8e7d-47b1-94ab-e9bcd77694db,Term Loan,EUR,876799.03,137520.53,76348.45,100,806781.06,FALSE,FALSE,FALSE,OK,OK,OK,OK
f1544509-4fbb-4b4b-9816-ef8759ce8d9f,Revolver,JPY,173869.64,163435.42,471221.91,100,260899.21,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
231800f1-9ced-4192-a73e-00b0bdae0c5c,Syndicated Loan,CNY,311145.86,264005.5,16882.14,100,368785.44,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
54a929b7-5875-42ac-bd74-584e61009c8b,Revolver,JPY,562703.56,314896.71,752584.02,100,670582.85,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
0c762955-04b6-43fd-9f43-064bcb8431e8,Bridge Loan,GBP,650553.84,846051.38,332180,100,518432.82,FALSE,FALSE,FALSE,OK,OK,OK,OK
d6245e32-58c0-4890-a24f-a86a4bab7765,Term Loan,CNY,244208,159712.4,415190.09,100,789901.26,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
c4772f5e-979d-461e-beb8-0456e710ce5a,Revolver,USD,662981.47,599021.31,519172.42,100,300357.44,FALSE,FALSE,FALSE,OK,OK,OK,OK
a466f0dc-a489-4613-a017-3414bc9825f8,Term Loan,USD,238221.57,946362.28,369069.32,100,917407.93,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
b8da5e2e-cd9e-4d7e-8856-fefe9eda02c7,Revolver,JPY,138919.32,472196.91,10906.67,100,320015.09,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
5c22cde1-d292-4776-8b0e-51f7ab5d181f,Syndicated Loan,CNY,73020.31,393933.82,717950.37,100,721271.27,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
eef55099-f708-4dab-a2ba-be8f018e839d,Syndicated Loan,JPY,988073.79,687436.95,549956.29,100,340105.69,FALSE,FALSE,FALSE,OK,OK,OK,OK
85712a66-1428-4d99-97c4-7cbd7d28e620,Bridge Loan,GBP,799255.82,811123.17,859071.71,100,475170.25,FALSE,FALSE,FALSE,OK,OK,OK,OK
82c57d14-1f3f-40dc-aecc-306ba132b5f7,Bridge Loan,USD,650355.85,731108.08,195093.11,100,969157.44,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
f8c54514-7feb-4b79-a41d-effd915fc0fc,Term Loan,USD,803252.36,623442.55,686985.61,100,599041.01,FALSE,FALSE,FALSE,OK,OK,OK,OK
bb994e53-0031-45db-9989-ab64ccb0cbd3,Bridge Loan,CNY,38008.62,14835.38,442408.4,100,757928.53,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
783b92a1-ba20-46dc-a975-7b495b9fbee3,Revolver,EUR,845466.53,442347.94,692157.19,100,535116.06,FALSE,FALSE,FALSE,OK,OK,OK,OK
a29b675a-aa9f-4b36-ac92-d09397e88098,Syndicated Loan,GBP,750712.66,189878.25,834445.67,100,796044.99,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
01037a23-a58f-4322-8d14-7425c006d25f,Syndicated Loan,EUR,473949.87,440203.2,844904.83,100,867691.55,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
07009531-6867-4eb9-b457-b2e6e7707290,Bridge Loan,EUR,421420.35,167783.16,703258.02,100,848018.92,TRUE,FALSE,FALSE,OK,Recalculate Economic Capital or adjust LGD assumptions,OK,OK
